period,radius,stellar_teff,stellar_logg,stellar_rad,stellar_mag,disposition,insolation,equilibrium_temp,stellar_mass,distance
6.365839713,2.44,5776.0,4.554,0.849,15.09,CONFIRMED,165.33,914.0,0.9411056955379304,958.3163515695196
5.97581754,3.86,6108.0,4.471,0.997,15.546,FALSE POSITIVE,284.25,1047.0,1.0720457955306149,1552.530190457878
2.446737317,26.25,5764.0,4.548,0.863,15.021,FALSE POSITIVE,597.19,1261.0,0.9590574265913482,939.7353827186907
3.04033046,8.99,5035.0,4.519,0.791,15.028,CONFIRMED,257.29,1021.0,0.7536609063353369,659.3595069160343
15.33528675,5.0,5251.0,4.581,0.817,15.855,CONFIRMED,32.67,610.0,0.9274000913470452,1084.0590321416848
7.95825328,1.06,5847.0,4.191,1.402,12.487,CONFIRMED,314.15,1074.0,1.112548745941094,489.0587578121881
31.33046135,6.5,5251.0,4.581,0.817,15.855,CONFIRMED,12.61,481.0,0.9274000913470452,1084.0590321416848
3.9043425,12.28,5810.0,4.526,0.898,15.016,FALSE POSITIVE,351.05,1104.0,0.9871330543878202,991.2322890157408
9.286358079,17.61,5670.0,4.523,0.821,15.365,FALSE POSITIVE,95.03,796.0,0.8194252371988586,1013.575522719205
3.951405455,31.44,6046.0,4.539,0.869,15.446,FALSE POSITIVE,388.71,1133.0,0.9524947139821168,1266.2017262162503
23.65369415,7.89,5739.0,4.191,1.384,15.084,CONFIRMED,67.65,731.0,1.0841645472360375,1537.9966118903983
13.23352214,3.06,5739.0,4.191,1.384,15.084,CONFIRMED,146.67,888.0,1.0841645472360375,1537.9966118903983
6.15560285,2.32,5739.0,4.191,1.384,15.084,CONFIRMED,406.94,1146.0,1.0841645472360375,1537.9966118903983
2.090811305,1.62,5739.0,4.191,1.384,15.084,CONFIRMED,1718.04,1642.0,1.0841645472360375,1537.9966118903983
3.180027898,1.53,5847.0,4.191,1.402,12.487,CONFIRMED,1066.86,1458.0,1.112548745941094,489.0587578121881
50.4467417,2.67,5739.0,4.191,1.384,15.084,CONFIRMED,24.64,568.0,1.0841645472360375,1537.9966118903983
11.76307164,2.35,4959.0,4.603,0.756,15.208,CONFIRMED,33.99,616.0,0.8353464133794266,664.1357386092841
56.2279271,2.37,4959.0,4.603,0.756,15.208,CONFIRMED,4.22,366.0,0.8353464133794266,664.1357386092841
2.384052875,17.06,4794.0,4.58,0.701,15.836,FALSE POSITIVE,244.87,1010.0,0.6811755596112009,768.5301617327773
7.953547,2.25,4768.0,4.536,0.779,15.66,CONFIRMED,55.37,696.0,0.760147613942508,779.0346779100872
4.14451656,1.48,4768.0,4.536,0.779,15.66,CONFIRMED,132.08,864.0,0.760147613942508,779.0346779100872
4.859386384,38.33,6072.0,4.47,0.988,15.311,FALSE POSITIVE,364.23,1114.0,1.0503569428018429,1364.480424626401
10.52629458,8.24,5386.0,4.553,0.793,15.305,CONFIRMED,61.16,713.0,0.81916124220228,859.3156565076821
4.583520948,5.39,5815.0,4.54,0.877,15.287,CONFIRMED,274.98,1038.0,0.9723490808536032,1098.6158758530753
3.76181843,2.66,5653.0,4.472,0.949,15.257,CONFIRMED,372.62,1121.0,0.9735436897197718,1108.0797607078923
8.20396958,3.01,5015.0,4.499,0.826,15.376,CONFIRMED,71.5,742.0,0.7848435904941599,801.8050018622499
14.49645186,3.01,5015.0,4.499,0.826,15.376,CONFIRMED,33.48,613.0,0.7848435904941599,801.8050018622499
6.54626149,2.19,5251.0,4.581,0.817,15.855,CONFIRMED,101.78,810.0,0.9274000913470452,1084.0590321416848
12.71809866,2.31,4702.0,4.592,0.686,15.389,CONFIRMED,23.6,562.0,0.6706118953276169,588.8927456121487
36.06588163,2.64,4702.0,4.592,0.686,15.389,CONFIRMED,5.88,397.0,0.6706118953276169,588.8927456121487
4.190425659,6.21,6073.0,4.392,1.135,15.27,CONFIRMED,547.9,1234.0,1.1582831654505776,1538.6833803500988
3.709870784,4.35,5727.0,4.463,0.978,15.581,CONFIRMED,415.1,1151.0,1.012746453101396,1360.6300558388589
16.3297527,3.75,5878.0,4.444,0.987,15.447,CONFIRMED,66.08,727.0,0.9873186179332566,1359.9506698175626
27.80756622,13.84,5862.0,4.584,0.785,15.482,CONFIRMED,22.24,554.0,0.8621093093192358,1093.2213989535724
80.8723469,7.59,5510.0,4.222,1.238,15.201,CONFIRMED,9.88,452.0,0.931674718088841,1338.3530146580372
3.166465862,26.82,4968.0,4.575,0.704,15.999,FALSE POSITIVE,196.31,954.0,0.6791541198891846,893.4755501893428
24.99324319,2.29,5718.0,4.181,1.317,12.377,CONFIRMED,60.88,712.0,0.9593886388105722,417.65810737335903
10.35533116,2.47,5501.0,4.462,0.918,15.018,CONFIRMED,86.22,777.0,0.8902426231984152,909.2280182499816
16.08518937,3.68,5239.0,4.523,0.826,15.219,CONFIRMED,33.43,613.0,0.8294364484283426,813.9986476072121
235.9986399,10.59,4245.0,4.627,0.657,15.172,CANDIDATE,0.29,188.0,0.666735777654214,415.97535193468815
7.49018305,2.56,5103.0,4.562,0.787,15.599,CONFIRMED,76.06,753.0,0.8237064865444819,876.541955114095
36.2761238,3.03,5103.0,4.562,0.787,15.599,CONFIRMED,9.29,445.0,0.8237064865444819,876.541955114095
17.46087931,2.32,5103.0,4.562,0.787,15.599,CONFIRMED,24.6,568.0,0.8237064865444819,876.541955114095
56.0560754,1.94,3593.0,4.757,0.491,15.849,CONFIRMED,0.69,233.0,0.5023264025540011,304.1884820382824
41.40831669,11.38,5522.0,4.586,0.747,15.196,CONFIRMED,9.93,453.0,0.7842675120236753,809.2081451562302
39.74893077,14.21,6122.0,4.487,0.964,15.344,CANDIDATE,21.87,552.0,1.0398653069657362,1374.0752703468584
5.715425977,2.47,5237.0,4.572,0.826,15.086,CONFIRMED,123.03,850.0,0.928502582299136,765.053901524747
49.18394185,8.2,5626.0,3.907,2.057,12.654,CONFIRMED,47.4,669.0,1.2453505149206543,717.4317400535123
20.0261412,2.28,5237.0,4.572,0.826,15.086,CONFIRMED,23.14,559.0,0.928502582299136,765.053901524747
13.61014819,19.02,5697.0,4.46,0.903,15.06,CANDIDATE,68.29,733.0,0.8574296984094537,977.9733680859716
10.44331991,2.66,4947.0,4.516,0.802,15.546,FALSE POSITIVE,46.94,667.0,0.7694346815678577,819.2284540676109
2.237489571,1.41,5265.0,4.58,0.81,15.001,CONFIRMED,427.17,1160.0,0.9094798029733536,729.1696923004274
5.851520671,14.62,5532.0,4.53,0.806,15.33,FALSE POSITIVE,155.89,901.0,0.802588818393615,932.065050932664
3.167893418,2.62,5895.0,4.503,0.94,15.533,CONFIRMED,526.23,1221.0,1.0258378722654569,1355.321449516974
4.311780262,3.11,5527.0,4.484,0.927,15.604,CONFIRMED,274.84,1038.0,0.9549540821883744,1213.963145972928
20.0504494,2.69,5527.0,4.484,0.927,15.604,CONFIRMED,35.44,622.0,0.9549540821883744,1213.963145972928
9.76734503,2.67,5527.0,4.484,0.927,15.604,CONFIRMED,92.46,791.0,0.9549540821883744,1213.963145972928
119.0207044,8.98,5453.0,4.342,1.062,15.085,CANDIDATE,4.25,366.0,0.9037994126534332,1065.9635420200912
190.3200468,7.78,5626.0,3.907,2.057,12.654,CONFIRMED,7.8,426.0,1.2453505149206543,717.4317400535123
2.861159894,4.37,6126.0,4.458,1.021,15.618,FALSE POSITIVE,797.1,1355.0,1.0911249973495472,1653.2044520421791
26.44439337,3.91,5427.0,4.463,0.929,15.158,CONFIRMED,23.54,562.0,0.9138069341788068,955.1733487781256
51.53997972,5.51,5427.0,4.463,0.929,15.158,CONFIRMED,9.67,450.0,0.9138069341788068,955.1733487781256
5.902245782,2.43,5427.0,4.463,0.929,15.158,CONFIRMED,173.74,926.0,0.9138069341788068,955.1733487781256
2.382951591,1.86,5427.0,4.463,0.929,15.158,CONFIRMED,583.01,1253.0,0.9138069341788068,955.1733487781256
21.02250608,3.07,5067.0,4.585,0.75,15.859,CONFIRMED,17.48,521.0,0.7887612163513243,928.3460868082728
3.219814777,1.69,5103.0,4.562,0.787,15.599,CONFIRMED,234.93,998.0,0.8237064865444819,876.541955114095
5.912273234,1.73,4072.0,4.696,0.57,15.036,CONFIRMED,27.72,585.0,0.5882646243587808,311.9156987960056
8.98581901,1.65,4072.0,4.696,0.57,15.036,CONFIRMED,15.9,509.0,0.5882646243587808,311.9156987960056
12.94066866,22.94,5875.0,4.572,0.809,15.215,CANDIDATE,64.64,723.0,0.8906766448852382,1000.7165969071892
20.5452375,2.41,5670.0,4.206,1.264,12.003,FALSE POSITIVE,71.57,742.0,0.9360890588321168,331.7875082398266
33.60123371,8.46,5149.0,4.447,0.93,15.262,CONFIRMED,14.22,495.0,0.8826507983868179,902.9746774085752
6.76652928,1.97,5149.0,4.447,0.93,15.262,CONFIRMED,120.48,845.0,0.8826507983868179,902.9746774085752
4.347288783,2.36,5754.0,4.345,1.122,15.024,CONFIRMED,449.79,1174.0,1.015801231746512,1219.2125127065185
4.601811819,2.35,4986.0,4.496,0.833,15.024,CONFIRMED,152.91,896.0,0.7927076038696679,679.6673205391268
11.18719905,1.55,4986.0,4.496,0.833,15.024,CONFIRMED,46.65,667.0,0.7927076038696679,679.6673205391268
4.220965778,2.62,3837.0,4.747,0.517,15.692,CONFIRMED,29.68,595.0,0.5442571052707099,339.7981269627559
6.998099523,588.66,5612.0,4.566,0.829,15.877,FALSE POSITIVE,125.22,853.0,0.9224271610731448,1269.2193787460308
5.95489993,2.33,4261.0,4.641,0.633,15.019,CONFIRMED,38.52,635.0,0.6391906908556864,376.3341395117861
12.03987488,2.18,4261.0,4.641,0.633,15.019,CONFIRMED,15.06,502.0,0.6391906908556864,376.3341395117861
20.83762895,1.42,4261.0,4.641,0.633,15.019,CONFIRMED,7.24,418.0,0.6391906908556864,376.3341395117861
8.8111022,63.66,6200.0,3.8,2.404,12.759,FALSE POSITIVE,904.92,1399.0,1.3295110398603496,1068.7218323587524
23.58917143,3.16,4919.0,4.566,0.721,15.316,CONFIRMED,13.34,487.0,0.6977398872294066,654.991628034767
6.481633073,2.54,5945.0,4.213,1.302,12.365,CONFIRMED,406.25,1145.0,1.009357442720118,443.8758748436731
10.37168928,3.2,5121.0,4.457,0.888,15.193,CONFIRMED,63.68,720.0,0.8234722201660689,826.1698778908087
3.96996298,1.78,5121.0,4.457,0.888,15.193,CONFIRMED,229.37,992.0,0.8234722201660689,826.1698778908087
4.40841331,2.66,6007.0,4.457,0.961,15.662,CONFIRMED,398.0,1139.0,0.9644279688133928,1526.811740047544
7.9426176,4.68,5811.0,4.521,0.926,15.26,FALSE POSITIVE,140.57,878.0,1.037635913457699,1144.0883852696911
226.8904775,4.53,5067.0,4.585,0.75,15.859,CONFIRMED,0.73,236.0,0.7887612163513243,928.3460868082728
1.956811408,21.58,5209.0,4.657,0.603,15.533,FALSE POSITIVE,357.16,1109.0,0.6018075689231012,678.8485053496628
2.688899233,12.04,4820.0,4.667,0.639,15.766,CANDIDATE,175.76,929.0,0.6915518342815395,685.7120379789397
9.439459486,4.16,5097.0,4.597,0.779,15.067,CONFIRMED,52.32,686.0,0.8747781697802247,677.5066525525162
11.52306746,3.13,5644.0,4.162,1.411,12.346,CONFIRMED,174.81,927.0,1.0540884357593117,429.7816442369764
20.47748843,2.92,5097.0,4.597,0.779,15.067,CONFIRMED,18.65,530.0,0.8747781697802247,677.5066525525162
3.336123113,1.74,5097.0,4.597,0.779,15.067,CONFIRMED,209.79,970.0,0.8747781697802247,677.5066525525162
8.01078456,1.72,3713.0,4.779,0.47,15.847,CONFIRMED,9.9,453.0,0.4841932571031326,310.6666222315122
12.07134205,1.29,3713.0,4.779,0.47,15.847,CONFIRMED,5.74,395.0,0.4841932571031326,310.6666222315122
20.99587872,1.3,3713.0,4.779,0.47,15.847,CONFIRMED,2.74,328.0,0.4841932571031326,310.6666222315122
7.41113177,2.45,5849.0,4.517,0.919,15.031,CONFIRMED,158.11,905.0,1.0126375883684184,1035.2031700419848
