toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate,stellar_mass
1052.01,317060587,CONFIRMED,22h30m02.47s,337.510274,-75d38m47.62s,-75.646561,-63.327,-1.942,2458332.941229,9.139804,3.0912936,358.4157801,3.0629855,243.011763,1006.9932829,9.0197,129.804,5958.2,4.34,1.58,2019-08-16 20:20:47,2023-07-24 12:03:31,1.991302299158655
1053.01,112395568,FALSE POSITIVE,19h23m54.51s,290.977117,-33d21m05.1s,-33.351416,-18.692,-8.192,2458657.999179,5.742625,2.860293,1105.760867,13.088532,363.6038948,1183.0274647,8.8849,263.729,5664.0,3.26574,3.86959,2019-08-16 20:20:42,2024-09-19 10:08:01,1.0066834420419106
1054.01,366989877,CONFIRMED,20h08m27.4s,302.114174,-54d19m03s,-54.317501,1.594,-15.903,2460122.700139,15.5077855,4.565,513.0,2.43432,88.0718,853.0,8.4362,88.4343,6122.0,4.30881,1.17,2019-08-16 20:20:48,2023-09-14 16:02:01,1.0162597956757606
1055.01,320004517,CONFIRMED,19h33m08.79s,293.286615,-54d31m57.82s,-54.532728,108.439,-82.632,2458661.062711,17.4713078,4.4284819,1199.7541483,3.5766828,53.3700317,689.3568807,8.0888,57.2651,5783.54,4.49925,0.974669,2019-08-16 20:20:47,2024-10-01 10:08:01,1.0934207915062188
1056.01,421894914,CANDIDATE,22h37m02.09s,339.258703,-76d55m03.38s,-76.917605,9.716,-20.168,2458326.062424,5.3079507,3.2158594,391.3830934,3.0486928,603.2401116,1263.9861129,9.6663,168.354,6124.3,4.38,1.36963,2019-08-16 20:20:50,2024-03-14 16:54:32,1.640701372821995
1057.01,323132914,CANDIDATE,08h31m59.26s,127.996917,-78d24m27.23s,-78.407564,117.721,-24.565,2458607.350901,51.1701501,6.6641048,851.4547808,2.9366826,11.2148229,466.7322968,9.4091,98.2855,5599.0,4.46138,0.943356,2019-08-16 20:20:47,2024-12-05 16:02:02,0.9387593018674597
1058.01,31553893,CANDIDATE,19h15m38.83s,288.911772,-31d47m26.93s,-31.790813,3.226,-16.323,2458663.023129,11.1296441,7.0473822,951.6169809,12.8402271,1255.6817164,1518.2372485,9.3781,338.831,5785.0,4.344,3.4475601,2019-08-16 20:20:41,2024-04-25 10:08:01,9.568562829096377
1059.01,380783252,CANDIDATE,17h58m51.48s,269.714503,-60d55m21.82s,-60.922727,4.297,-207.409,2460106.337519,9.4496506,2.021,19750.0,17.0216,38.5799,694.0,9.7825,98.8783,5509.0,4.39758,0.94,2019-08-16 20:20:49,2023-10-16 16:02:02,0.8047458179887216
106.01,38846515,CONFIRMED,04h35m50.36s,68.959816,-64d01m37.34s,-64.027039,10.845,-0.499,2460201.638583,2.8493825,3.567,8049.0,16.3869,2005.83,1864.0,10.3157,364.411,6900.0,4.438,1.77,2019-05-07 17:42:35,2023-11-16 16:02:02,3.131623576462076
1060.01,101230735,ACTIVE PLANET CANDIDATE,19h57m09.84s,299.290995,-48d56m04.11s,-48.934476,2.224,-14.604,2460149.536226,2.0685633,0.373,502.0,3.89739,24.409,619.0,9.6652,128.491,5687.9,4.6,1.14,2019-08-16 20:20:42,2023-10-16 16:02:02,1.8863953792617112
1061.01,253990973,FALSE POSITIVE,18h58m45.34s,284.688908,-41d14m32.94s,-41.242483,24.978,-71.79,2458654.253249,0.540933,1.674337,257.347459,2.28501,363.6038948,1183.0274647,9.7345,133.171,5525.0,4.25342,1.21935,2019-08-16 20:20:44,2021-10-29 12:59:15,0.9716274738996897
1062.01,299799658,CONFIRMED,02h32m29.03s,38.120968,-78d01m25.26s,-78.023683,107.847,30.732,2460177.200429,4.1150576,1.08,487.0,2.30057,77.3573,826.0,9.478,82.1733,5394.0,4.50942,0.89,2019-08-16 20:20:47,2023-10-16 16:02:02,0.9333038010208572
1063.01,406976746,CANDIDATE,15h22m13.32s,230.555493,-83d03m22.37s,-83.056214,-89.125,-9.6,2458629.391681,10.0665238,2.4023189,839.9044871,2.7272824,54.8791715,694.1792631,9.0689,61.1201,5552.0,4.61783,0.791742,2019-08-16 20:20:49,2025-07-09 16:00:02,0.9480263071674292
1064.01,79748331,CONFIRMED,19h44m00.94s,296.003935,-47d33m43.31s,-47.56203,-3.457,-100.891,2458656.668478,6.4438657,1.9309449,1121.9512275,2.460344,60.831305,712.2812841,10.0059,68.0726,4803.0,4.52079,0.737189,2019-08-16 20:20:42,2024-04-25 10:08:01,0.6573107178486254
